Entry,Protein names
A0A6L5C7N8,Ion transport domain-containing protein
A0A2V0PFX2,Cyclic nucleotide-binding domain-containing protein
T1JD14,Ion transport domain-containing protein
A0A7J7KQH9,TPCN2
A0A4C1YQ79,Potassium voltage-gated channel protein Shab
A0A2A2LAK7,Ion transport domain-containing protein
A0A4W3JEH4,Transient receptor potential cation channel subfamily V member 4
L1J1E4,EF-hand domain-containing protein
A0A0T6AW01,Ion transport domain-containing protein
A0A1Q9DPP9,Lipase maturation factor 1
S4RP01,Potassium voltage-gated channel subfamily V member 1 (Voltage-gated potassium channel subunit Kv8.1)
A0A448YXT8,Ion transport domain-containing protein
A0A6V7WJN4,Ion transport domain-containing protein
A0A078ANI7,Cation channel family protein
A0A6V7XFA3,Ion transport domain-containing protein
L1IZH9,EF-hand domain-containing protein
A0A1Q9CGD6,Cation channel sperm-associated protein 1
A0A4Z2I292,Potassium voltage-gated channel subfamily H member 8
A0A0V1IF25,Potassium voltage-gated channel protein Shab
M7BBC6,Voltage-dependent R-type calcium channel subunit alpha
A0A1J1IQI8,"CLUMA_CG014024, isoform A"
A0A1R2BHM5,Cyclic nucleotide-binding domain-containing protein
A0A4W3K8K7,Sodium channel protein
A0A0M0JAK8,Voltage-gated ion channel superfamily
U4PMX5,Ion transport domain-containing protein
A0A3P6QJY4,BTB domain-containing protein
A0A1Q9C5X1,Calmodulin
A0A267FPR4,Ion transport domain-containing protein
A0A2T7NGS9,Ion_trans domain-containing protein
A0A2G5DBY5,Potassium channel
A0A6P4Z800,shaker-related potassium channel tsha2-like
A0A7J7AFY6,Ion transport domain-containing protein
H2XL42,Ion transport domain-containing protein
A0A7J7AR29,Ryanodine receptor
A0A4Y2SQV9,Cyclic nucleotide-gated cation channel alpha-3
A0A2T7PQ14,BTB domain-containing protein
A0A1R2BG01,Ion transport domain-containing protein
O54898,Voltage-dependent T-type calcium channel subunit alpha-1G (Voltage-gated calcium channel subunit alpha Cav3.1)
A0A7M5XC57,Ion transport domain-containing protein
A0A3S0ZYM4,EF-hand domain-containing protein
A0A448YUS7,Ion transport domain-containing protein
A0A1D2M5J5,Sodium channel protein para
A0A518D295,pH-gated potassium channel KcsA
